#{"t_start": 1764136897.55839, "env_id": "merge-v0"}
r,l,t
11.202264,12,36.503201
11.202264,12,36.609044
7.274844,8,36.673165
3.364056,4,36.70751
5.123695,6,36.753747
7.267168,8,36.820572
6.850065,8,36.887288
7.267168,8,36.95266
3.363553,4,36.986759
11.694444,12,37.083199
11.174487,12,37.19023
11.694444,12,37.291044
6.033229,7,37.356054
6.145653,7,37.418867
5.170094,6,37.466172
5.247191,6,37.515946
10.498712,12,37.617725
7.267168,8,37.685304
7.856616,9,37.757889
7.856232,9,37.822815
3.347945,4,37.856894
13.372562,15,37.985475
5.719573,7,38.041639
5.757313,7,38.102083
10.389875,12,38.202255
5.937679,7,38.258684
7.248121,8,38.324525
11.75,12,38.419453
11.880382,13,38.538038
6.131188,7,38.602625
11.557178,12,38.697895
7.049781,8,38.764592
3.401481,4,38.798777
5.298388,6,38.850952
7.267168,8,38.917977
6.037272,7,38.974093
11.174487,12,39.080096
11.558442,13,39.196944
7.849189,9,39.262928
3.364056,4,39.297326
7.263765,8,39.361721
7.267168,8,39.429032
4.235642,5,39.472731
6.806398,8,39.537113
4.347945,5,39.57585
5.267168,6,39.625563
7.267168,8,39.690338
5.278315,6,39.740197
6.940063,8,39.803998
11.548388,12,39.902142
6.021917,7,39.958064
11.988058,14,40.080459
14.189568,16,40.210801
3.333438,4,40.246514
13.51146,15,40.368561
4.398383,5,40.40427
5.292771,6,40.447722
11.285598,12,40.557256
3.422222,4,40.592537
6.197814,7,40.653433
6.105214,7,40.710892
4.398383,5,40.751645
7.267168,8,40.81858
11.202264,12,40.922439
7.211613,8,40.987758
8.620004,10,41.065989
8.599162,10,41.140647
4.153617,5,41.190824
11.511116,12,41.339631
11.26927,13,41.461478
6.550452,8,41.530217
10.556541,12,41.628797
7.013645,8,41.69016
6.045361,7,41.749807
4.217793,5,41.793139
4.242299,5,41.835299
11.202264,12,41.944358
7.267168,8,42.014167
7.257396,8,42.083062
5.1881,6,42.135351
3.307453,4,42.17315
5.217793,6,42.224613
7.267168,8,42.291427
11.146709,12,42.402284
9.177834,11,42.500796
7.248121,8,42.56561
7.802642,9,42.637263
11.356878,13,42.750379
3.307453,4,42.784956
6.896704,8,42.86079
7.267168,8,42.926615
7.267168,8,42.990217
11.174487,12,43.097588
7.257396,8,43.170521
3.364056,4,43.20584
5.26386,6,43.262236
11.174487,12,43.380249
11.760101,13,43.507652
7.827591,9,43.576982
11.707071,13,43.678626
11.202264,12,43.784078
5.052747,6,43.837588
11.148331,12,43.9419
6.183835,7,44.002562
5.295848,6,44.053001
3.401481,4,44.088323
10.52649,12,44.189208
11.146709,12,44.295201
10.813375,12,44.395861
6.91213,8,44.470655
7.128279,8,44.538978
11.42806,12,44.634001
11.091153,12,44.740933
10.470934,12,44.845036
6.930522,8,44.91315
6.956932,8,44.980662
7.291637,8,45.04786
7.23939,8,45.119592
6.970975,8,45.196926
12.305258,16,45.356915
15.207852,17,45.517447
7.257396,8,45.585424
7.267168,8,45.651386
10.528764,12,45.749405
11.174487,12,45.858623
6.183835,7,45.924079
5.256764,6,45.974207
10.750986,12,46.078416
7.07839,8,46.140755
13.207844,15,46.266975
6.095823,7,46.321881
7.257396,8,46.38615
11.091153,12,46.494486
6.284129,7,46.555222
7.003173,8,46.619914
4.13941,5,46.66453
5.267168,6,46.712948
5.181394,6,46.761598
6.251555,7,46.824436
3.416667,4,46.860162
7.842258,9,46.929077
10.801653,13,47.034679
11.411398,12,47.129037
3.352561,4,47.163083
11.996986,16,47.306596
10.582046,12,47.407847
3.285091,4,47.442823
3.422222,4,47.477554
11.341153,12,47.586518
5.236625,6,47.635932
11.118931,12,47.743264
7.248121,8,47.808722
7.23939,8,47.872095
10.500986,12,47.973003
13.078457,15,48.094548
7.841418,9,48.16314
11.118978,12,48.26927
13.104232,14,48.380738
11.202264,12,48.487992
7.856616,9,48.559629
6.245363,7,48.620371
4.295848,5,48.660855
10.556541,12,48.759961
11.202264,12,48.870147
4.279675,5,48.908034
6.8866,8,48.981624
13.022901,14,49.094379
7.177876,8,49.159873
7.177876,8,49.227549
11.741493,13,49.3493
4.135943,5,49.392755
4.117875,5,49.436146
11.202264,12,49.542694
5.179147,6,49.593782
4.210213,5,49.636476
3.986082,5,49.676337
6.183835,7,49.738336
10.352655,12,49.88713
6.155377,7,49.94957
7.180526,8,50.012301
11.174487,12,50.117126
5.133785,6,50.167188
6.268363,7,50.227148
7.23939,8,50.292041
7.23939,8,50.35855
11.174487,12,50.467791
7.23939,8,50.532682
4.118439,5,50.578659
8.579711,10,50.653201
5.056398,6,50.708127
11.074492,12,50.815091
3.398383,4,50.849058
7.26386,8,50.911883
6.250031,7,50.973556
5.951757,7,51.02862
3.288987,4,51.063942
6.279333,7,51.124955
3.394444,4,51.159931
4.342827,5,51.199438
4.336278,5,51.237695
10.917653,12,51.339699
11.861377,15,51.477492
11.067083,14,51.602133
7.267168,8,51.667134
6.183835,7,51.727739
11.416667,12,51.828461
6.279333,7,51.889965
5.319963,6,51.937891
7.257396,8,52.000668
5.26807,6,52.04924
5.238134,6,52.094993
4.370605,5,52.132514
11.230042,12,52.236323
5.211613,6,52.284376
7.174063,8,52.349129
6.230413,7,52.409151
6.000105,7,52.462778
11.694444,12,52.559945
11.202264,12,52.667219
11.202264,12,52.774884
4.106007,5,52.819629
11.202264,12,52.927981
6.91213,8,53.002954
4.159901,5,53.048293
11.146709,12,53.158197
10.940542,13,53.266438
11.70595,13,53.378615
6.268363,7,53.44
11.638889,12,53.537259
11.174487,12,53.641106
4.29879,5,53.684659
4.401481,5,53.724054
11.156203,12,53.834093
6.194982,7,53.894952
11.074492,12,54.003935
8.634371,10,54.085154
6.250031,7,54.14947
13.133629,14,54.268117
7.267168,8,54.334435
10.720934,12,54.440055
7.220343,8,54.503984
5.191499,6,54.549751
11.230042,12,54.659009
11.583333,12,54.757297
6.950732,8,54.829164
7.263844,8,54.898411
8.613531,10,54.970533
11.95173,15,55.105086
7.220343,8,55.175253
7.267168,8,55.241828
7.257396,8,55.306276
4.444444,5,55.344451
7.267168,8,55.410571
10.44543,12,55.508533
7.257396,8,55.573386
10.34576,12,55.673101
6.161185,7,55.733933
3.318148,4,55.769531
3.354346,4,55.804669
6.072724,7,55.864939
4.30566,5,55.900935
10.473208,12,55.999045
7.23939,8,56.063008
6.840234,8,56.129394
6.850065,8,56.198039
11.00782,12,56.300648
7.257396,8,56.368107
4.83673,6,56.413254
4.210213,5,56.457246
5.346741,6,56.505034
11.663905,13,56.609113
3.354346,4,56.643621
10.498712,12,56.740423
3.336278,4,56.775854
3.326568,4,56.812188
7.201841,8,56.876836
7.156057,8,56.941049
10.556541,12,57.03869
6.173431,7,57.101644
5.181657,6,57.149443
4.398383,5,57.18654
11.174487,12,57.294934
6.194982,7,57.356546
10.269322,12,57.466148
12.002423,14,57.595552
6.984285,8,57.661596
11.416667,12,57.763722
11.202264,12,57.870524
11.202264,12,57.975125
6.264993,7,58.036304
11.694444,12,58.13602
4.111111,5,58.179527
6.139426,7,58.238631
5.118439,6,58.309507
6.76351,8,58.403428
6.928729,8,58.465988
7.183835,8,58.53297
7.024867,8,58.598313
11.399647,13,58.715394
6.816979,8,58.786561
6.754864,8,58.8561
7.23939,8,58.923476
4.326568,5,58.962913
11.174487,12,59.070142
11.174487,12,59.174281
10.778764,12,59.276499
6.111953,7,59.337055
7.229618,8,59.403025
4.352561,5,59.440289
4.333438,5,59.479237
8.592226,10,59.558821
7.821412,9,59.633782
6.084777,7,59.694258
3.271012,4,59.725996
11.202264,12,59.836148
3.347945,4,59.870419
5.146202,6,59.920171
11.694444,12,60.01878
7.156057,8,60.085265
11.063375,12,60.189289
11.174487,12,60.300904
10.901325,13,60.418434
4.338889,5,60.463532
6.967841,8,60.526309
11.202264,12,60.633993
10.52649,12,60.739617
4.319415,5,60.77617
11.694444,12,60.871326
6.883888,8,60.940127
11.063375,12,61.04658
5.090662,6,61.094221
4.182436,5,61.137422
7.09073,8,61.204224
11.146709,12,61.313462
6.084777,7,61.373264
11.118931,12,61.481089
11.091153,12,61.587966
11.146709,12,61.695569
11.146709,12,61.804274
11.086655,14,61.93363
11.135875,16,62.065169
13.078455,14,62.179783
5.237991,6,62.22854
11.694444,12,62.328467
11.202264,12,62.433946
11.202264,12,62.54279
11.202264,12,62.653958
7.036894,8,62.718788
5.209435,6,62.762177
6.205654,7,62.820001
6.707029,8,62.887022
11.285598,12,62.996
7.211613,8,63.060714
7.23939,8,63.130805
6.23939,7,63.194337
11.694444,12,63.295212
5.022674,6,63.345766
7.07839,8,63.413588
6.084777,7,63.474756
5.298234,6,63.518899
3.401481,4,63.553854
7.07839,8,63.617766
10.52649,12,63.723134
11.694444,12,63.820011
6.821325,8,63.884566
11.118931,12,63.991652
6.840234,8,64.05953
7.211613,8,64.125167
6.139061,7,64.188367
11.156203,12,64.298237
5.229618,6,64.34407
4.182436,5,64.386357
5.191499,6,64.434539
7.183835,8,64.501345
6.833481,8,64.573191
6.322296,7,64.635218
8.120795,9,64.70831
6.99038,8,64.783217
7.267168,8,64.848961
7.072341,8,64.919362
7.211613,8,64.984115
3.354346,4,65.019125
6.138497,7,65.070099
7.849189,9,65.143442
7.013645,8,65.20728
6.183835,7,65.269598
11.202264,12,65.373922
11.091153,12,65.478087
4.342827,5,65.51702
5.139426,6,65.561053
7.123592,8,65.62811
10.566035,12,65.729292
5.187552,6,65.775653
6.11839,7,65.833052
10.556541,12,65.928864
6.194982,7,65.988798
11.694444,12,66.088136
7.063591,8,66.15546
6.194982,7,66.216881
7.83579,9,66.286395
11.202264,12,66.395556
3.382123,4,66.43153
7.267168,8,66.498499
7.274844,8,66.562734
13.384012,15,66.685218
7.174063,8,66.753405
7.211613,8,66.820853
4.182115,5,66.862613
6.745473,8,66.933838
10.869161,13,67.047763
13.51146,15,67.219313
5.176639,6,67.269231
11.202264,12,67.373717
7.267168,8,67.443208
3.316765,4,67.477978
3.422222,4,67.512177
