#{"t_start": 1764373449.274129, "env_id": "merge-v0"}
r,l,t
6.272296,7,73.070259
6.242299,7,73.19452
6.183835,7,73.267098
6.194982,7,73.33431
6.009494,7,73.398855
10.896709,12,73.509386
6.045361,7,73.575672
7.229618,8,73.647021
6.94882,8,73.716754
7.842258,9,73.790391
7.801975,9,73.864875
11.638889,12,73.968997
11.202264,12,74.082292
11.87088,13,74.210418
7.267168,8,74.278241
8.62694,10,74.355104
10.862097,12,74.459604
5.989806,7,74.524321
11.230042,12,74.631497
11.444444,12,74.735477
10.361723,12,74.835
3.416667,4,74.872602
10.556167,12,74.972383
7.758925,9,75.045478
7.177876,8,75.110798
10.44543,12,75.219546
7.043547,8,75.284567
7.23939,8,75.351318
7.036894,8,75.41382
11.091153,12,75.524822
6.183835,7,75.587538
4.582829,6,75.634753
11.35683,13,75.755746
13.650397,15,75.891337
11.878426,13,76.01234
5.962028,7,76.071913
7.291637,8,76.138254
7.267168,8,76.207411
5.265912,6,76.256487
11.174487,12,76.363524
6.858165,8,76.428261
4.285091,5,76.465528
11.694444,12,76.565712
11.777778,12,76.662304
7.146285,8,76.729856
6.913756,8,76.796678
6.099821,7,76.858919
6.206925,7,76.916838
5.201726,6,76.962984
11.694444,12,77.062114
10.609823,12,77.16564
10.52649,12,77.27417
11.285598,12,77.386871
7.220343,8,77.452401
10.612097,12,77.554954
11.388889,12,77.656964
6.996285,8,77.729015
5.206925,6,77.781914
11.666667,12,77.883162
7.233431,8,77.948689
7.257396,8,78.019943
6.194982,7,78.078602
11.055821,15,78.194002
10.582046,12,78.292936
11.500988,13,78.399319
11.638891,12,78.504348
6.985867,8,78.568144
11.527779,12,78.673501
7.267168,8,78.736964
7.856616,9,78.815953
7.829753,9,78.885894
11.868996,13,79.002259
10.498714,12,79.107714
7.267168,8,79.177044
10.306167,12,79.280615
7.267168,8,79.345976
7.267168,8,79.412649
11.012436,13,79.521659
10.723208,12,79.623763
8.634371,10,79.699205
5.989806,7,79.760779
7.156057,8,79.830973
11.174487,12,79.939914
4.394444,5,79.981845
5.167204,6,80.032516
11.694444,12,80.137974
10.665656,12,80.238481
4.171645,5,80.282958
5.151369,6,80.335907
6.878279,8,80.404579
7.34696,9,80.486314
6.194982,7,80.550284
7.257396,8,80.616282
7.233431,8,80.684188
11.174488,12,80.790413
6.183835,7,80.856218
6.764145,8,80.930306
6.902703,8,81.006134
11.72483,13,81.124751
10.65267,12,81.234838
12.890855,14,81.347781
10.667653,12,81.449295
6.162942,7,81.511135
6.139426,7,81.576009
3.364056,4,81.611769
10.498714,12,81.713907
3.401481,4,81.751131
5.217793,6,81.806608
6.21129,7,81.867004
10.470934,12,82.006697
7.257396,8,82.074404
10.306167,12,82.175284
11.888889,12,82.270865
4.146217,5,82.315373
7.292401,8,82.38083
7.291621,8,82.444908
11.769279,13,82.562912
11.540371,13,82.673896
11.279098,13,82.792951
10.260106,12,82.905216
11.079431,13,83.033802
8.125495,9,83.114544
10.419552,12,83.221494
8.634371,10,83.294294
10.806541,12,83.398349
10.470934,12,83.510943
4.398383,5,83.552265
6.248457,7,83.616421
10.389875,12,83.717599
10.193157,12,83.820039
10.556541,12,83.929664
4.222327,5,83.974542
11.722222,12,84.071433
4.388889,5,84.113357
6.084777,7,84.176849
7.267168,8,84.246425
7.267168,8,84.31458
6.916818,8,84.396954
11.118931,12,84.505969
5.275128,6,84.557808
10.583945,12,84.663625
11.176386,12,84.776349
6.322296,7,84.839014
12.391824,14,84.974021
15.291138,17,85.130768
14.217345,16,85.2871
4.242299,5,85.332301
7.003173,8,85.398214
5.182115,6,85.448818
6.980037,8,85.524895
10.583945,12,85.627392
7.156057,8,85.692131
7.146285,8,85.760322
6.965624,8,85.830466
11.541554,13,85.968114
10.980042,12,86.14385
11.118931,12,86.256915
7.248121,8,86.33039
6.87232,8,86.400009
8.634371,10,86.4758
7.122937,9,86.551098
7.23939,8,86.621887
7.291637,8,86.693922
11.202264,12,86.80929
7.267168,8,86.879686
4.444444,5,86.922351
4.316765,5,86.96372
7.128279,8,87.030195
10.417653,12,87.131817
11.583333,12,87.232863
4.108165,5,87.277582
10.665379,12,87.384256
3.444444,4,87.419222
7.842258,9,87.491523
3.398383,4,87.52651
15.189568,17,87.68207
7.233431,8,87.748882
6.162942,7,87.809651
5.210213,6,87.858447
6.183835,7,87.919011
