#{"t_start": 1764373019.9330518, "env_id": "merge-v0"}
r,l,t
11.41999,14,87.86673
11.08765,14,88.104254
13.050679,14,88.377244
4.28022,5,88.464029
12.605273,15,88.757193
12.995123,14,88.990392
4.303054,5,89.069268
11.41999,14,89.388351
13.078457,14,89.642684
11.41999,14,89.939438
11.475498,14,90.187546
5.235642,6,90.349892
13.078457,14,90.608067
13.022901,14,90.903166
4.297006,5,90.989312
4.114538,5,91.070281
13.800679,15,91.3556
13.911782,15,91.650053
13.550679,15,91.959682
13.050679,14,92.20391
3.401481,4,92.282299
11.41999,14,92.574609
13.078457,14,92.841736
11.916933,15,93.17888
11.889155,15,93.473199
11.215727,14,93.725058
7.257396,8,93.883639
3.401481,4,93.961388
13.051665,15,94.266297
10.773828,13,94.509094
11.083599,15,94.824022
12.549718,15,95.172329
5.846359,7,95.271897
3.422222,4,95.350026
13.078457,14,95.634575
5.176639,6,95.732882
13.856234,15,96.03778
5.235642,6,96.184361
3.444444,4,96.257463
12.384012,14,96.50241
13.078457,14,96.798557
13.078457,14,97.055666
4.237991,5,97.136933
8.059265,9,97.340296
5.267168,6,97.443446
3.364056,4,97.519135
11.41999,14,97.801106
4.163721,5,97.88954
5.088312,6,97.980349
11.833599,15,98.264652
4.291637,5,98.347435
13.022901,14,98.631415
11.41999,14,98.866555
4.985642,6,99.020993
13.078457,14,99.26335
13.856234,15,99.569895
3.363553,4,99.643838
4.171645,5,99.728903
14.411782,16,100.038132
3.380339,4,100.11749
8.669797,10,100.340033
3.422222,4,100.431526
13.050679,14,100.745861
12.190554,14,101.053067
11.41999,14,101.326134
5.226841,6,101.474144
13.745123,15,101.785883
12.305258,16,102.096997
13.022901,14,102.348304
4.444444,5,102.433824
4.364056,5,102.611512
3.364056,4,102.696129
3.401481,4,102.773882
3.401481,4,102.854058
12.688607,15,103.118522
3.342827,4,103.193424
3.264612,4,103.273765
13.328457,15,103.602424
12.633051,15,103.903217
11.41999,14,104.140044
3.422222,4,104.212045
3.364056,4,104.289005
8.059265,9,104.493484
4.382123,5,104.57344
4.331454,5,104.655483
11.41999,14,104.941445
11.41999,14,105.188834
13.078457,14,105.478865
4.401481,5,105.560772
5.333438,6,105.650479
7.095823,8,105.795821
4.316765,5,105.924039
11.41999,14,106.170054
4.164788,5,106.257176
4.166205,5,106.383575
13.828457,15,106.64241
3.316765,4,106.717461
13.856234,15,107.00976
